dataset,method,ratio,k,d,bar_omega,learning_cost,rho,omega_support,active_resource_ratio,u_active_mean,u_active_p99,papr_mean_db,papr_p99_db,papr_max_db,adc_cost,clip_sample_ratio,channel_cost,b_power,b_privacy,b_star,regime,learning_cost_norm,channel_cost_norm,adc_cost_norm,J_adc_aware,J_adc_unaware
femnist,topk,0.01,4042,404222,0.46241780959652934,7.731150075452095,0.16592342899554677,335691.75,0.08774599753694581,2.269651621580124,10.625,8.848374247550964,10.763585090637207,11.315883755683899,3.182759731585386e-06,3.963977815146791e-05,2.8672975155632483,31.458053093027868,11.121809018505765,11.121809018505765,privacy,1.0,0.0,0.00018756110933458957,1.0000937805546672,1.0
femnist,topk,0.02,8084,404222,0.5609937218808293,4.014647449367528,0.20328516042084427,786155.75,0.14967025862068967,2.6611181497573853,11.625,8.98202919960022,10.665047645568848,11.039353609085083,1.4642201776959103e-06,4.18719214394514e-05,19.563247224632313,22.24420266500645,7.864306576047127,7.864306576047127,privacy,0.7440648302244319,5.1313108492856546e-05,0.0,0.7440725271907058,0.7440725271907058
femnist,topk,0.05,20211,404222,0.7170536907487906,1.4120145105125639,0.2820257793437133,2570228.75,0.27993749999999995,3.5568956434726715,14.0,9.31786823272705,11.602116465568542,12.14375388622284,7.463761082194405e-06,8.451354688077117e-05,228.71229319038318,14.068120986951595,4.9737011506534,4.9737011506534,privacy,0.40626918791432787,0.0006941089885612097,0.0006547888554553191,0.4067006986903397,0.40637330426261203
femnist,topk,0.1,40422,404222,0.839391583052478,0.5291207496474949,0.3714427266027619,6513934.0,0.4210680418719212,4.729302227497101,16.125,11.224267959594727,14.82672894001007,15.2434743642807,0.00033488880703064824,0.000340748150847503,1376.0705506866548,9.94766374842626,3.516937811222354,3.516937811222354,privacy,0.19591703183625592,0.00422038450885108,0.03638990167437771,0.21474504034977243,0.19655008951258357
femnist,topk,0.2,80844,404222,0.9395746999675365,0.1451664525277694,0.495693224312451,16844932.75,0.5924978448275862,6.7217971086502075,18.0,15.042789101600647,18.007860779762268,18.340507745742798,0.002980962006252359,0.0006557881752087269,7745.24546662749,7.034060493475797,2.4868505753267,2.4868505753267,privacy,0.062468335955896424,0.023795321494563617,0.3251818724517166,0.22862857040593926,0.06603763418008096
femnist,topk,0.35,141477,404222,0.9860930251752222,0.029001803177169525,0.6335540312857251,36890203.0,0.743364224137931,9.375706195831299,20.0,17.310258626937866,19.57384490966797,19.92393970489502,0.007303842791999803,0.0007461514687747695,29759.536619908125,5.31724993506321,1.8798823343120998,1.8798823343120998,privacy,0.013102509685976567,0.09145374943819971,0.7969803328717425,0.4253107385375778,0.026820572101706526
femnist,topk,0.5,202111,404222,0.9976221386310737,0.004789782984572081,0.7453125549300814,61283849.0,0.8330310960591133,11.952135682106018,20.0,17.934812784194946,19.981799125671387,20.37088966369629,0.009164022279182237,0.0007734759856248274,68060.31261880955,4.4487194660832605,1.5728185127150431,1.5728185127150431,privacy,0.0021130358078270796,0.2091668420408132,1.0,0.5334880621139491,0.033488062113949064
femnist,topk,0.8,323377,404222,0.9999995553343333,0.00020006001000137812,0.931613874827214,120947290.0,0.9527352216748769,16.7211172580719,20.0,17.57032001018524,19.61166548728943,20.05246353149414,0.007920295657856857,0.0007643934659427032,199270.63321847637,3.5170248087615343,1.243423365098899,1.243423365098899,privacy,0.0,0.6124268861613344,0.8642598919083407,0.5239939788783705,0.09186403292420016
femnist,topk,1.0,404222,404222,1.0,0.00020006001000137812,1.0,161688800.0,0.9956206896551724,20.0,20.0,17.091758489608765,19.179770469665527,19.66019582748413,0.006546279492279028,0.0007539255093433894,325376.83507016295,3.1457197020640706,1.1121506359165472,1.1121506359165472,privacy,0.0,1.0,0.7143000055174971,0.5071500027587486,0.15
femnist,randk,0.01,4042,404222,0.010413934652635268,36309.19339023606,1.0,1616800.0,0.009955665024630541,20.0,20.0,9.151723504066467,10.813249945640564,11.257688641548157,1.8373917848264772e-06,6.35775868431665e-05,0.32532371153320955,31.458053093027868,11.121809018505765,11.121809018505765,privacy,1.0,0.0,0.0,1.0,1.0
