dataset,method,round,ratio,k,d,train_loss,test_accuracy,test_loss,retained_energy,b_power,b_privacy,b_star,regime,papr_mean_db,papr_p99_db,papr_max_db,clip_sample_ratio,normalized_clip_energy,u_active_mean,active_resource_ratio
femnist,topk,1,0.1,40422,404222,3.8671947312355046,6.009615384615385,3.84384272648738,0.8374737124270022,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.55280590057373,11.08884048461914,11.189456939697266,0.0019544335082173347,0.00012770676315874993,4.85042667388916,0.4105270935960591
femnist,topk,2,0.1,40422,404222,3.716111028194427,17.78846153846154,3.7896352914663463,0.7535972670399149,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.642769813537598,11.285857200622559,11.725889205932617,0.0019716748502105474,0.0001351067790249837,4.221993446350098,0.4716330049261084
femnist,topk,3,0.1,40422,404222,3.6748895764350897,15.384615384615385,3.7014025174654446,0.7128630965439078,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.595479011535645,11.061065673828125,11.117952346801758,0.0019396551651880145,0.00012446439770260034,3.9463047981262207,0.5045812807881773
femnist,topk,4,0.1,40422,404222,3.5574071526527407,19.71153846153846,3.6453367379995494,0.684145334768681,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.569371223449707,11.08667278289795,11.342193603515625,0.0018774630734696984,0.00012094322893803128,3.8027591705322266,0.523628078817734
femnist,topk,5,0.1,40422,404222,3.5248801696300505,20.673076923076923,3.574339059682993,0.6607770940742306,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.513101577758789,11.154653549194336,11.5767183303833,0.0018799260724335909,0.00011508669810619866,3.6603024005889893,0.5440073891625615
femnist,topk,6,0.1,40422,404222,3.4466475713253018,26.442307692307693,3.454869196965144,0.6491199379666611,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.532689094543457,11.208930015563965,11.348560333251953,0.0018706896807998419,0.0001170950779292144,3.599561929702759,0.5531871921182266
femnist,topk,7,0.1,40422,404222,3.3636027586460115,25.48076923076923,3.4066332303560696,0.6245562741428391,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.550002098083496,11.24473762512207,11.687884330749512,0.0018442118307575583,0.00012282471345025908,3.5000128746032715,0.5689211822660099
femnist,topk,8,0.1,40422,404222,3.31987409234047,26.442307692307693,3.307414715106671,0.6087149555588134,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.545612335205078,11.083578109741211,11.403718948364258,0.0018620690098032355,0.00011514095712771694,3.4295458793640137,0.5806108374384237
femnist,topk,9,0.1,40422,404222,3.259983834028244,33.17307692307692,3.1866390521709738,0.6076356784371916,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.590285301208496,11.226682662963867,11.401511192321777,0.001910098479129374,0.00012985335273574622,3.3707470893859863,0.5907389162561576
femnist,topk,10,0.1,40422,404222,3.1858526957035065,36.77884615384615,3.129548586331881,0.591626782220521,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.605242729187012,11.090176582336426,11.558464050292969,0.0018380541587248445,0.0001277400625721915,3.3223607540130615,0.5993423645320197
femnist,topk,11,0.1,40422,404222,3.111309944391251,33.65384615384615,3.0287774892953725,0.5885245265443431,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.520525932312012,11.206673622131348,11.516162872314453,0.0019027093658223748,0.0001173180581357589,3.2680482864379883,0.6093029556650247
femnist,topk,12,0.1,40422,404222,2.9882440173625953,32.69230769230769,2.901789738581731,0.5847433676683493,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.628043174743652,11.53310489654541,12.79904556274414,0.0018731526797637343,0.0001346293103807471,3.2567265033721924,0.6114211822660098
femnist,topk,13,0.1,40422,404222,2.9697074234485625,36.29807692307692,2.828709528996394,0.5646423543314177,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.639032363891602,10.9685640335083,11.171759605407715,0.001935960608534515,0.0001328438851515177,3.159313917160034,0.6302733990147783
femnist,topk,14,0.1,40422,404222,2.8211595642566683,40.14423076923077,2.7435634319598856,0.5644522257214093,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.525235176086426,11.280720710754395,12.003545761108398,0.001861453172750771,0.00011876494187927022,3.162168502807617,0.6297044334975369
femnist,topk,15,0.1,40422,404222,2.85406702876091,41.82692307692308,2.6460808974045973,0.5697640923928238,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.595333099365234,10.90851879119873,11.306556701660156,0.0019088670378550887,0.00012760253959582098,3.1656975746154785,0.6290024630541872
femnist,topk,16,0.1,40422,404222,2.740196377038956,43.75,2.5461240915151744,0.5416742564078878,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.609950065612793,11.173797607421875,12.10908317565918,0.0020110837649554014,0.00013285251023159093,3.061356544494629,0.6504408866995074
femnist,topk,17,0.1,40422,404222,2.67178965985775,41.58653846153846,2.47951419536884,0.5469646517592659,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.491955757141113,10.901040077209473,12.697700500488281,0.0018374384380877018,0.00011634846570120364,3.0749452114105225,0.6475665024630541
femnist,topk,18,0.1,40422,404222,2.6025782519578935,42.54807692307692,2.4078520261324368,0.5530088420209739,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.591791152954102,11.282954216003418,11.673173904418945,0.0018805419094860554,0.00012911761936160426,3.0586233139038086,0.6510221674876847
