dataset,method,ratio,k,rounds,final_accuracy,tail_mean_accuracy,auc_mean_accuracy,best_accuracy,best_round,round_to_target,target_accuracy,b_power,b_privacy,b_star,effective_noise_std,papr_p99_last,clip_energy_last,regime,epsilon,run_dir
femnist,topk,0.15,60633,200,6.730769230769231,6.7884615384615365,8.939903846153845,16.58653846153846,100,,75.0,0.4061116719404364,0.0270173172414587,0.0270173172414587,0.055519946210478635,11.143623352050781,0.04637560091955735,privacy,100000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e05_topk
femnist,randk,0.65,262744,200,0.0,0.5096153846153846,2.676682692307697,5.528846153846154,1,,75.0,0.19508936554479575,0.012978674693525443,0.012978674693525443,0.11557420425542471,11.142837524414062,0.04637561531028679,privacy,100000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e05_randk
femnist,full,1.0,404222,200,2.644230769230769,1.2403846153846156,2.348557692307692,6.490384615384615,90,,75.0,0.15728598510320355,0.010463736087328843,0.010463736087328843,0.14335223934109645,11.156912803649902,0.046374415175400974,privacy,100000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e05_full
femnist,topk,0.15,60633,200,43.26923076923077,44.45192307692309,41.13942307692309,51.68269230769231,100,,75.0,0.4061116719404364,0.0469600326858486,0.0469600326858486,0.03194205613171193,11.126150131225586,0.046374947400354534,privacy,300000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e05_topk
femnist,randk,0.65,262744,200,5.048076923076923,3.240384615384616,5.811298076923078,9.615384615384615,55,,75.0,0.19508936554479575,0.022558827080421263,0.022558827080421263,0.0664928187378377,11.144529342651367,0.046374666577879614,privacy,300000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e05_randk
femnist,full,1.0,404222,200,2.644230769230769,3.211538461538463,3.9711538461538436,6.25,125,,75.0,0.15728598510320355,0.01818749745896406,0.01818749745896406,0.08247423832664633,11.132830619812012,0.04637429939422018,privacy,300000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e05_full
femnist,topk,0.15,60633,200,64.1826923076923,65.19230769230771,62.334134615384635,71.875,150,,75.0,0.4061116719404364,0.0859231698703491,0.0859231698703491,0.01745745649587302,11.148641586303711,0.04637302428766309,privacy,1000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e06_topk
femnist,randk,0.65,262744,200,29.567307692307693,29.096153846153847,31.00961538461536,38.70192307692308,105,,75.0,0.19508936554479575,0.041276077132948466,0.041276077132948466,0.036340662780688864,11.138782501220703,0.04637266722561384,privacy,1000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e06_randk
femnist,full,1.0,404222,200,14.182692307692308,16.105769230769226,16.877403846153857,23.317307692307693,155,,75.0,0.15728598510320355,0.03327781827021682,0.03327781827021682,0.045075070361214914,11.138952255249023,0.046374824585635,privacy,1000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e06_full
femnist,topk,0.15,60633,200,76.4423076923077,75.84615384615385,69.7379807692308,77.64423076923077,75,55,75.0,0.4061116719404364,0.148988705193674,0.148988705193674,0.010067877280023412,11.202655792236328,0.0463707282477128,privacy,3000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e06_topk
femnist,randk,0.65,262744,200,62.5,62.50000000000002,56.501201923076934,65.14423076923077,110,,75.0,0.19508936554479575,0.07157172270054218,0.07157172270054218,0.020957997703576148,11.133883476257324,0.046377959088334,privacy,3000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e06_randk
femnist,full,1.0,404222,200,51.44230769230769,54.85576923076922,50.447115384615415,60.33653846153846,105,,75.0,0.15728598510320355,0.05770293464767686,0.05770293464767686,0.025995211667437967,11.160917282104492,0.04637881097126886,privacy,3000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e06_full
femnist,topk,0.15,60633,200,81.49038461538461,81.36538461538461,74.06490384615395,82.6923076923077,150,45,75.0,0.4061116719404364,0.2722016627450636,0.2722016627450636,0.005510620269078158,11.219722747802734,0.046387695217448045,privacy,10000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e07_topk
femnist,randk,0.65,262744,200,75.24038461538461,74.4807692307692,67.42668269230772,77.40384615384616,120,85,75.0,0.19508936554479575,0.1307612003157632,0.1307612003157632,0.011471292679917394,11.180501937866211,0.04636960576808322,privacy,10000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e07_randk
femnist,full,1.0,404222,200,69.71153846153847,70.0288461538462,66.10456730769238,74.75961538461539,120,,75.0,0.15728598510320355,0.10542298985651086,0.10542298985651086,0.01422839555243983,11.137103080749512,0.04637547267282001,privacy,10000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e07_full
femnist,topk,0.15,60633,200,84.13461538461539,83.9423076923077,75.35576923076927,85.33653846153847,175,40,75.0,0.4061116719404364,0.47163275413982597,0.4061116719404364,0.003693565350714218,11.211565971374512,0.04638018150952813,power,30000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e07_topk
femnist,randk,0.65,262744,200,79.5673076923077,80.39423076923079,70.79326923076933,82.21153846153847,170,65,75.0,0.19508936554479575,0.22656461543114254,0.19508936554479575,0.007688784039103304,11.183125495910645,0.046376833119723584,power,30000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e07_randk
femnist,full,1.0,404222,200,76.20192307692308,77.15384615384615,71.28846153846155,80.28846153846153,125,65,75.0,0.15728598510320355,0.18266212834360382,0.15728598510320355,0.009536768320555037,11.166971206665039,0.04638052982763873,power,30000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e07_full
femnist,topk,0.15,60633,200,84.13461538461539,83.9423076923077,75.35576923076927,85.33653846153847,175,40,75.0,0.4061116719404364,0.8612665583764915,0.4061116719404364,0.003693565350714218,11.211565971374512,0.04638018150952813,power,100000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e08_topk
femnist,randk,0.65,262744,200,79.5673076923077,80.39423076923079,70.79326923076933,82.21153846153847,170,65,75.0,0.19508936554479575,0.41373828443734867,0.19508936554479575,0.007688784039103304,11.183125495910645,0.046376833119723584,power,100000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e08_randk
femnist,full,1.0,404222,200,76.20192307692308,77.15384615384615,71.28846153846155,80.28846153846153,125,65,75.0,0.15728598510320355,0.33356627851504006,0.15728598510320355,0.009536768320555037,11.166971206665039,0.04638052982763873,power,100000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps1e08_full
femnist,topk,0.15,60633,200,84.13461538461539,83.9423076923077,75.35576923076927,85.33653846153847,175,40,75.0,0.4061116719404364,1.4919231566202578,0.4061116719404364,0.003693565350714218,11.211565971374512,0.04638018150952813,power,300000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e08_topk
femnist,randk,0.65,262744,200,79.5673076923077,80.39423076923079,70.79326923076933,82.21153846153847,170,65,75.0,0.19508936554479575,0.7166953381958545,0.19508936554479575,0.007688784039103304,11.183125495910645,0.046376833119723584,power,300000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e08_randk
femnist,full,1.0,404222,200,76.20192307692308,77.15384615384615,71.28846153846155,80.28846153846153,125,65,75.0,0.15728598510320355,0.5778179244789475,0.15728598510320355,0.009536768320555037,11.166971206665039,0.04638052982763873,power,300000000.0,logs/experiments/aligned-exp3-exp4/aligned_seed2026_r200_20260712_150100/exp3-privacy/runs/eps3e08_full
