dataset,method,ratio,k,rounds,final_accuracy,best_accuracy,tail_mean_accuracy,auc_mean_accuracy,best_round,round_to_target,target_accuracy,b_star,effective_noise_std,papr_p99_last,clip_energy_last,regime,run_dir
femnist,topk,0.03,12126,200,83.89423076923077,83.89423076923077,82.85576923076925,74.83653846153855,200,40,75.0,0.9081157710720591,0.0016517717760028774,11.182498931884766,0.046332158345523344,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r030
femnist,topk,0.05,20211,200,83.41346153846153,83.89423076923077,82.63461538461537,75.30889423076933,150,40,75.0,0.7034060493475798,0.0021324809495044394,11.087501525878906,0.04636238295818051,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r050
femnist,topk,0.08,32337,200,84.13461538461539,84.85576923076923,83.0673076923077,75.70793269230761,170,40,75.0,0.5560964679708955,0.002697373722715985,11.230574607849121,0.04638856269096776,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r080
femnist,topk,0.1,40422,200,83.89423076923077,85.57692307692308,82.69230769230774,75.43149038461546,165,40,75.0,0.497383187421313,0.0030157834802913438,11.145777702331543,0.046362669342607014,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r100
femnist,topk,0.12,48506,200,83.41346153846153,83.65384615384616,82.4423076923077,75.25961538461536,150,40,75.0,0.4540485245793218,0.0033036116599863244,11.21004581451416,0.04637038711041646,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r120
femnist,topk,0.15,60633,200,84.13461538461539,85.33653846153847,83.9423076923077,75.35576923076927,175,40,75.0,0.4061116719404364,0.003693565350714218,11.211565971374512,0.04638018150952813,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r150
femnist,topk,0.18,72759,200,84.85576923076923,84.85576923076923,83.45192307692305,75.11057692307692,200,45,75.0,0.3707290678942949,0.004046081437637604,11.167625427246094,0.04637635364446155,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r180
femnist,topk,0.2,80844,200,82.9326923076923,84.13461538461539,83.08653846153842,75.15745192307698,150,40,75.0,0.3517030246737899,0.004264961899008575,11.182219505310059,0.04637758290099299,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r200
femnist,topk,0.25,101055,200,82.6923076923077,83.89423076923077,82.74038461538463,74.69471153846166,175,45,75.0,0.31457274842515204,0.004768372363814803,11.22343921661377,0.04638429131323898,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r250
femnist,topk,0.35,141477,200,80.52884615384616,83.17307692307692,80.85576923076921,74.09615384615383,135,40,75.0,0.26586249675316054,0.005642014267970971,11.185760498046875,0.04637917539865257,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r350
