method,ratio,round,test_accuracy
topk,0.12,1,7.211538461538462
topk,0.12,5,28.846153846153847
topk,0.12,10,36.29807692307692
topk,0.12,15,49.03846153846154
topk,0.12,20,55.04807692307692
topk,0.12,25,63.94230769230769
topk,0.12,30,69.71153846153847
topk,0.12,35,70.91346153846153
topk,0.12,40,73.3173076923077
topk,0.12,45,75.96153846153847
topk,0.12,50,76.20192307692308
topk,0.12,55,77.64423076923077
topk,0.12,60,77.64423076923077
topk,0.12,65,78.125
topk,0.12,70,78.84615384615384
topk,0.12,75,79.32692307692308
topk,0.12,80,79.8076923076923
topk,0.12,85,80.52884615384616
topk,0.12,90,81.97115384615384
topk,0.12,95,81.25
topk,0.12,100,80.76923076923077
topk,0.12,105,82.6923076923077
topk,0.12,110,81.73076923076923
topk,0.12,115,81.00961538461539
topk,0.12,120,81.49038461538461
topk,0.12,125,82.21153846153847
topk,0.12,130,82.9326923076923
topk,0.12,135,82.9326923076923
topk,0.12,140,80.76923076923077
topk,0.12,145,82.6923076923077
topk,0.12,150,83.17307692307692
topk,0.12,155,82.45192307692308
topk,0.12,160,82.45192307692308
topk,0.12,165,82.9326923076923
topk,0.12,170,81.97115384615384
topk,0.12,175,82.45192307692308
topk,0.12,180,83.65384615384616
topk,0.12,185,81.49038461538461
topk,0.12,190,82.21153846153847
topk,0.12,195,82.6923076923077
topk,0.12,200,81.73076923076923
randk,0.5,1,11.057692307692308
randk,0.5,5,20.673076923076923
randk,0.5,10,34.375
randk,0.5,15,33.65384615384615
randk,0.5,20,41.34615384615385
randk,0.5,25,49.51923076923077
randk,0.5,30,56.00961538461539
randk,0.5,35,59.375
randk,0.5,40,62.98076923076923
randk,0.5,45,64.42307692307692
randk,0.5,50,64.66346153846153
randk,0.5,55,68.02884615384616
randk,0.5,60,69.95192307692308
randk,0.5,65,70.91346153846153
randk,0.5,70,71.15384615384616
randk,0.5,75,71.15384615384616
randk,0.5,80,73.07692307692308
randk,0.5,85,74.03846153846153
randk,0.5,90,72.11538461538461
randk,0.5,95,73.3173076923077
randk,0.5,100,73.79807692307692
randk,0.5,105,73.07692307692308
randk,0.5,110,72.35576923076923
randk,0.5,115,73.07692307692308
randk,0.5,120,74.03846153846153
randk,0.5,125,74.03846153846153
randk,0.5,130,73.79807692307692
randk,0.5,135,73.07692307692308
randk,0.5,140,72.59615384615384
randk,0.5,145,73.3173076923077
randk,0.5,150,72.59615384615384
randk,0.5,155,72.11538461538461
randk,0.5,160,74.51923076923077
randk,0.5,165,75.72115384615384
randk,0.5,170,75.24038461538461
randk,0.5,175,75.72115384615384
randk,0.5,180,76.6826923076923
randk,0.5,185,74.27884615384616
randk,0.5,190,76.4423076923077
randk,0.5,195,75.72115384615384
randk,0.5,200,75.96153846153847
full,1.0,1,7.211538461538462
full,1.0,5,22.115384615384617
full,1.0,10,31.971153846153847
full,1.0,15,40.625
full,1.0,20,45.91346153846154
full,1.0,25,56.25
full,1.0,30,57.93269230769231
full,1.0,35,63.46153846153846
full,1.0,40,66.58653846153847
full,1.0,45,67.0673076923077
full,1.0,50,68.99038461538461
full,1.0,55,68.99038461538461
full,1.0,60,69.71153846153847
full,1.0,65,69.71153846153847
full,1.0,70,70.1923076923077
full,1.0,75,73.07692307692308
full,1.0,80,70.91346153846153
full,1.0,85,71.15384615384616
full,1.0,90,72.35576923076923
full,1.0,95,72.59615384615384
full,1.0,100,71.63461538461539
full,1.0,105,71.39423076923077
full,1.0,110,73.07692307692308
full,1.0,115,72.59615384615384
full,1.0,120,73.5576923076923
full,1.0,125,72.35576923076923
full,1.0,130,70.91346153846153
full,1.0,135,71.875
full,1.0,140,73.3173076923077
full,1.0,145,69.95192307692308
full,1.0,150,70.4326923076923
full,1.0,155,69.23076923076923
full,1.0,160,68.02884615384616
full,1.0,165,69.71153846153847
full,1.0,170,69.71153846153847
full,1.0,175,70.1923076923077
full,1.0,180,69.23076923076923
full,1.0,185,68.75
full,1.0,190,69.23076923076923
full,1.0,195,67.54807692307692
full,1.0,200,68.99038461538461
