method,ratio,gamma,clip_sample_ratio,normalized_clip_energy,adc_nmse,effective_tx_ratio,resource_weighted_clip_energy,resource_weighted_adc_nmse
topk,0.15,0.8,0.5273950681090355,0.1615470726539424,0.14539050673471693,0.15142437685578086,0.024462164809498782,0.022015666883050723
topk,0.15,1.0,0.36795734353363513,0.08902118197828868,0.07550450254376948,0.15142437685578086,0.013479977008027432,0.011433222247496013
topk,0.15,1.1,0.2982437953352928,0.06458378859327607,0.053011990599415214,0.15142437685578086,0.009779559942722317,0.008027307642400961
topk,0.15,1.2,0.2369682729244232,0.04612556651254226,0.03659033087745199,0.15142437685578086,0.006984535166281585,0.005540668052065005
topk,0.15,1.3,0.18455862030386924,0.032421522968593686,0.02483514729486578,0.15142437685578086,0.004909408912234685,0.0037606467032465824
topk,0.15,1.5,0.1053904022090137,0.015255955267854827,0.010889381857304228,0.15142437685578086,0.0023101235197745843,0.0016489178620869383
topk,0.15,2.0,0.01828158104326576,0.001728637949578627,0.0010485729922602362,0.15142437685578086,0.00026175792432419834,0.00015877951194080779
randk,0.65,0.8,0.5274198576807976,0.16152947817872315,0.14573435889615444,0.6499992609024048,0.10499404143012117,0.09472722557058619
randk,0.65,1.0,0.36798635981976985,0.08900367620797739,0.07580266988810669,0.6499992609024048,0.05785232375278225,0.04927167940169832
randk,0.65,1.1,0.29826891161501407,0.06456681935740469,0.053266789514818516,0.6499992609024048,0.04196838486113213,0.034623373815276
randk,0.65,1.2,0.23698413651436567,0.04610952449282939,0.03679704202160329,0.6499992609024048,0.02997115684090043,0.02391805011743687
randk,0.65,1.3,0.18454979229718446,0.03240673129337274,0.02499488698579887,0.6499992609024048,0.02106435138895511,0.016246658067108403
randk,0.65,1.5,0.10538761559873819,0.01524354282847783,0.010972033444218182,0.6499992609024048,0.009908291572044743,0.007131813629338285
randk,0.65,2.0,0.01827931806910783,0.0017216548020789917,0.0010520553970502088,0.6499992609024048,0.0011190743488804207,0.0006838352305110217
full,1.0,0.8,0.5274022243916988,0.1615369731665508,0.14573847332813467,1.0,0.1615369731665508,0.14573847332813467
full,1.0,1.0,0.3679869379848242,0.08901011634432883,0.07580547250834573,1.0,0.08901011634432883,0.07580547250834573
full,1.0,1.1,0.2982749152928591,0.06457256739234081,0.053269301892894014,1.0,0.06457256739234081,0.053269301892894014
full,1.0,1.2,0.23696861900389193,0.04611458835427159,0.03679967605482551,1.0,0.04611458835427159,0.03679967605482551
full,1.0,1.3,0.1845441348850727,0.03241107806320827,0.024997483558575208,1.0,0.03241107806320827,0.024997483558575208
full,1.0,1.5,0.10538203520700336,0.01524651267812041,0.010974168827620109,1.0,0.01524651267812041,0.010974168827620109
full,1.0,2.0,0.018282673973590135,0.0017226972174450308,0.0010531833185797763,1.0,0.0017226972174450308,0.0010531833185797763
